Rank,Company_Name,Company_Website,Company_Type,Company_Location
15,Cresa Alberta,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa90df2412f0881d982e2,Professional Services,"Calgary, Alberta"
16,Inertia Engineering + Design Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b5a0a7b664d1c3b28d21daf,Professional Services,"Toronto, Ontario"
17,Smile.io,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5ac68307613d261f61aa9768,11.3 Information Technology // Software,"Kitchener, Ontario"
18,CrowdRiff,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5a970c57f965a714bf1ac6a6,Information Technology / Software,"Toronto, Ontario"
19,Fiix Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b5730f0a315b0089e505462,Information Technology / Software,"Toronto, Ontario"
20,Lumency Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/59c56e650eaf55234951937f,Professional Services  / Advertising and Marketing,"Toronto, Ontario"
21,Smart Dolphins IT Solutions Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b3bcb01a77b3f37e7d10d88,11.0 Information Technology //,"Victoria, British Columbia"
22,Uken Games,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa913f2412f0881d983c3,Information Technology / Software,"Toronto, Ontario"
23,Kootenay Career Development Society,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b4e8736e67b180e261547cf,Non-profit and Charity Organizations,"Nelson, British Columbia"
24,Managing Matters,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5a036226fb069050540dc815,Professional Services / Business Process Outsourcing,"Toronto, Ontario"
25,PACE Technical Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa910f2412f0881d98361,Information Technology / IT Consulting,"Markham, Ontario"
26,"Microdea, Inc.",https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/59398ef1f06be34d5da0a41d,Information Technology / Software,"Markham, Ontario"
27,Borrowell,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b10433faf6ef35d2385f65d,Financial Services & Insurance,"Toronto, Ontario"
28,Openmind Technologies,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bc8cc943ab8e579db7f33c2,Information Technology,"Blainville, Quebec"
29,Nymi Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bec790e2362840246831738,Information Technology,"Toronto, Ontario"
30,Fiasco Gelato,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b0db1463cf1d3527b016979,Manufacturing & Production / Food products / Dairy and Poultry,"Calgary, Alberta"
31,Nest Wealth,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b280222f96929268d6dd953,Financial Services & Insurance / Investments,"Toronto, Ontario"
32,KFC,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa914f2412f0881d983d5,Hospitality / Food and Beverage Service,"Vaughan, Ontario"
33,Group IN-RGY Consulting,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/593b3144575bd45a276c9359,Information Technology / IT Consulting,"Montreal, Quebec"
34,Eagle Professional Resources Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa90df2412f0881d982f0,Professional Services / Staffing & Recruitment,"Ottawa, Ontario"
35,Electromate Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/596911984bd04053057f38f9,Industrial Services,"Vaughan, Ontario"
36,Luxy Hair,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b6b379c1fe28b535c21771d,Retail / Specialty,"Toronto, Ontario"
37,Phoenix Contact Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa910f2412f0881d98363,Manufacturing & Production / Electronics,"Milton, Ontario"
38,Proof Experiences Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/593b30717b690657a6f98772,Professional Services / Advertising and Marketing,"Toronto, Ontario"
39,Present,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5a7a2ad64796224d644be264,Information Technology,"Saint-Laurent, Quebec"
40,Opencare,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5a15b2c5c47f515b5f05e810,Information Technology,"Toronto, Ontario"
41,True North Solutions,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa913f2412f0881d983bf,Industrial Services / Engineering,"Calgary, Alberta"
42,Pedalheads,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5a8df287ecf57f282b6fa0e7,Education & Training,"Vancouver, British Columbia"
43,GroupeX Solutions ,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/59f8bc1bdedc3f4ce400731e,Information Technology / IT Consulting,"Toronto, Ontario"
44,Diff,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/594291590a8f484be4dbc2f6,Information Technology ,"Montreal, Quebec"
45,Intercept,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5b2923ec40ee6a5892a72b5b,Professional Services  / Advertising and Marketing,"Toronto, Ontario"
46,Bateman MacKay LLP,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bfff801db342a08c993a4a4,"Professional Services  / Accounting, Bookkeeping and Auditing ","Burlington, Ontario"
47,Capital Engineering,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa90cf2412f0881d982ca,Professional Services / Consulting Engineering,"Edmonton, Alberta"
48,Inclusive Advisory,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/5bed860b7ad0234bd8c807ac,Professional Services  ,"Peterborough, Ontario"
49,Consumer Protection BC,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa90cf2412f0881d982da,Social Services and Government Agencies / General public administration activities,"Victoria, British Columbia"
50,Sparkrock,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-less-than-100-employees/#2019-best--100-employees/view-sub-list-details29/592fa912f2412f0881d98397,Information Technology / Software,"Toronto, Ontario"
