Rank,Company_Name,Company_Website,Company_Type,Company_Location
27,Visa Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/5af20efbf733a958602c9684,11.0 Information Technology //,", Ontario"
28,EY Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90df2412f0881d982fc,Professional Services,"Toronto, Ontario"
29,Hilton,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/5bd34374759282085e3e4e00,Hospitality / Hotel/Resort,"Toronto, Ontario"
30,LoyaltyOne Co.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ff2412f0881d98341,Professional Services / Advertising and Marketing,"Toronto, Ontario"
31,Cactus Restaurants Ltd.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90cf2412f0881d982c4,9.1 Hospitality // Food and Beverage Service,"Vancouver, British Columbia"
32,Kiewit,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ff2412f0881d98331,"Construction, Infrastructure & Real Estate / Infrastructure","Oakville, Ontario"
33,Wavemaker Canada ULC,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ff2412f0881d98343,Media,"Toronto, Ontario"
34,JOEY Restaurant Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ff2412f0881d9832b,Hospitality / Food and Beverage Service,"Vancouver, British Columbia"
35,Deloitte,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/5bd342c4eb32ea085abb1f2f,Professional Services,"Toronto, Ontario"
36,TD Bank Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa912f2412f0881d9839d,Financial Services & Insurance / Banking/Credit Services,"Toronto, Ontario"
37,TJX Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa913f2412f0881d983af,Retail / Specialty,"Mississauga, Ontario"
38,Morningstar Research Inc.,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa910f2412f0881d9834d,Financial Services & Insurance / Investments,"Toronto, Ontario"
39,RBC,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa911f2412f0881d9836f,Financial Services & Insurance / Banking/Credit Services,"Toronto, Ontario"
40,New Castle Hotels & Resorts,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/59d25f84edbc99284868ab9c,Hospitality / Hotel/Resort,"Halifax, Nova Scotia"
41,3M Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90af2412f0881d98292,Manufacturing & Production,"London, Ontario"
42,Connect Hearing,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90cf2412f0881d982d8,Retail / Specialty,"Victoria, British Columbia"
43,BASF Canada,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90bf2412f0881d982b0,Manufacturing & Production / Chemicals,"Mississauga, Ontario"
44,Hilti Canada Corporation,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90ef2412f0881d9831b,Professional Services,"Mississauga, Ontario"
45,BMO Financial Group,https://www.greatplacetowork.ca/en/best-workplaces/best-workplaces-in-canada-2019-1000-employees/#2019-best-1000-employees/view-sub-list-details32/592fa90bf2412f0881d982be,Financial Services & Insurance / Banking/Credit Services,"Toronto, Ontario"
